name,id
 <350 cells/mm³,lWyYRFbplIb
 Artemether-Lumefantrine 20/120 Tabs 12s ,uZC2BYQhBcq
 Artemether-Lumefantrine 20/120 Tabs 18s ,nUl3zO2cxgS
 Artemether-Lumefantrine 20/120 Tabs 24s ,qjLzWGtTmln
 Artemether-Lumefantrine 20/120 Tabs 6s ,tVgQdXuoVuc
 CARE FOR HIV/AIDS ORGANIZATION,ojOfQMUzR9W
 DICE  Kabiyet SCH,ozQ5yUOfDjs
 DICE  MAAYGO-VIHIGA,ccFaD3nvDIA
 DICE CHAMUKA DISPENSARY (FSW),vw91Hy1rZlt
 DICE CHAMUKA DISPENSARY (MSM),fBw9Ly4pk6u
 DICE CHS Kyumbi,OLiSEYxbSvJ
 DICE ENGINEER SUBCOUNTY HOSPITAL (FSW) ,bCGePK6ZwuR
 DICE ISIOLO COUNTY REFERRAL HOSPITAL BHESP,NZoshkGeraj
 DICE JM KARIUKI HOSPITAL (FSW),jTbSxSEiuQX
 DICE MAAYGO BUNGOMA,RV7m7EHnyDc
 DICE MAAYGO KAKAMEGA,LSJvyCN4VAD
 DICE Mogogosiek Health Centre,wjSe8s9tGyH
 DICE Mosoriot SCH,w0cgc79MV7F
 DICE NDARAGWA H C (MSM),Zedfn9QhWsN
 DICE SEGA DISPENSARY,uT1ppE9nZPg
 DICE TEENS WATCH CENTRE -FSW,WqFMHgtO5I4
 Dandelion Africa ,ciOchs1GbjR
 Female,Cq2vU1TMxN4
 Forum for Community Mobilization Fofcom ,TVKWXbSw2ja
 GREENOLA INTERNATIONAL COMPANY,LQmvn2ZHru0
 Happy Church Ministries Seretut,oBDeYUGUQlX
 Initial Screening,Eb6xt7xh595
 K.C.K.K. DISABLE GROUP,uKEV81m9HCv
 K.C.K.K. Disable Group,C6yrQ4L3qyv
 KAPTEBENGWO HIV/AIDS GROUP,VTfL0jL6ghN
 KESETE KAMUINGI YOUTH  GROUP,qTmb4cvyRzs
 Kesete Kamuingi Youth  Group,cdwSQmUeNzl
 M,H2OxweOFsIn
 Male,r58zvldymfU
 Nadumu Ntomonok,NVfuMeX3Bvv
 Norm,F8RGL8VM5en
 Number Positive ,qJMzLyfnYEK
 RORET WOMEN ECONOMIC EMPOWERMENT,Nm3uSptTCE9
 Roret Women Economic Empowerment,HrpnyCjRQpl
 Total Evaluated,zdpDAhjL4KY
 Wetinya SHG ,cjppu60uyxr
+ve Adjustments(Received from other facilities),Jn95usnxwfh
-ve Adjustments(Given to other facilities),VuIivVG3NFI
0 to 3,Rn6Y3Me5nt6
0-1000cp//ml,hFzNtb38Lx4
0-11 months,CcqSuMsKc5x
0-11Yrs,aNrXDEyAMdT
0-14 years,cIC6PEMCjwg
0-14yrs Female,E6DmRwJRm1c
0-14yrs Male,PWs92q1HMEp
0-18 years,PqQOd6Hek1x
0-4 ,Ms3EcZSlUTh
0-4 yrs,OhQ4IS10Ooa
0-5 years,MKLSI1fad4p
0-5 yrs,dGchgzmuBoG
0-59 months,Mle05TY1DHf
0-59 months (Negative),CX2TGhKl71M
0-59 months (Positive),YPKfRnZBTbp
0-59 mths,t3WaxC51Cx1
0-9 Years,KxXRyqBjFtJ
0-9 years Female,MdMpQQ1dbvC
0-9 years Male,f7rkWN1gG7n
0-9 yrs,T9phaLp2T3r
0WEP-Ogiek women empowerment program,TP7MyKP7JKd
0wep-Ogiek Women Empowerment Program,Yajk5FKuWnc
1,Y5vE3Cm01oj
1 month - 12 months,hPkA2pgqoGQ
1 ½ - 2 Years ,xU0CgxejfAY
1 ½ Years,FI6VZlZM1WB
1-4 yrs,gOPSQiZtonQ
1-9 yr,KL1LC1zPpX6
1-9 yrs,KfjflChtZ4j
10 - 14 Years Female,VzyXNmwhRC7
10 - 14 Years Male,ryDAbivPfNQ
10 to <15 kg,oNOzRUN4mjQ
10- 19 Yrs,vlbfPyz3Jls
10-14 ,Za444r9YdK5
10-14 yrs,tc8WNCycE8l
10-17 yrs,B0p4YzvVAbV
10-18 Years,zAPzlmpwWmS
10000-30000,tjNecva9bYH
11-14 yrs,Wgchgrmltmt
11-15yrs,aJPPjQzalDp
12 - 17 Yrs,VZtfbdA5svw
12-17Yrs,NJW5BkecrEY
12-59 months,BL2BfozilaV
13-24 Years,YhreOaROrxq
13-One Boosters Youth Group,EIJgOaNlDam
15 +,LcldPOS7oSB
15 - 18 Years,naVbWHsVSI8
15 - 19 Years Female,KTbiuYi8cML
15 - 19 Years Male,KsCxKa4tVjy
15 - 24kgs,VIEPegFMUmu
15 and above,WRR3iFlfHIG
15 to <20 Kg,wCQOFVycT5l
15 yrs and Above ,hLKRoL5i2G9
15 yrs and above,zqfthzralnX
15-17 years,JUYJmAoS9UR
15-18yrs,HNuHIRExZJX
15-19,PLeybdysDJS
15-19 years,eVSpqH7FoBH
15-24 Years,NIIq0PugUR9
15-24 yrs,Ab2VAdLKo61
15-24 yrs Female,Ya2p9NAvkZE
15-24 yrs Male,NisY0IwyOmC
15-29 yrs,ozVEefG80R7
15-44 yrs,ON59YSn3Po4
17. Kanyariri Social Life Programme Group,kdn5dSmXCxv
18 - 24,le2fy8dMhn7
