name,id,shortName,domainType,formName,valueType,categoryCombo.id
"",ioUhQ3uyRxD,"",TRACKER,"",TEXT,OzshuDqmXQI
 66. Number on ART,W0d6QYJ2q2z,  66. Number on ART,AGGREGATE, 66. Number on ART,NUMBER,pESEtZDeBpX
" Bandages,Crepe (Ridged or wrinkled) Elastic, size 15cm x 4.5m BP",ZkgtCKZehAs," Bandages,Crepe",AGGREGATE," Bandages,Crepe (Ridged or wrinkled) Elastic, size 15cm x 4.5m BP",NUMBER,QnscZ8fCMLK
 HWI -Total,qB8SxudwZ13, HWI -Total,AGGREGATE,Total,NUMBER,OzshuDqmXQI
 Laparotomy,ziySHxhJdnY, Laparotomy,TRACKER, Laparotomy,TEXT,OzshuDqmXQI
 MOH 706 Rev 2020_4.3 Hemoglobin A1c Pre-Diabetes,xsHfanRLf8x,4.3 Hemoglobin A1c Pre-Diabetes,AGGREGATE,,NUMBER,OzshuDqmXQI
 MOH 706 Rev 2020_Hemoglobin A1c Total Exam,Lxfm1LOG3mG,Hemoglobin A1c Total Exam,AGGREGATE,,NUMBER,OzshuDqmXQI
 MOH 717 Revised 2020 - No. of Removals done ,L3OJdtFTADH,No. of Removals done ,AGGREGATE,No. of Removals done ,INTEGER_ZERO_OR_POSITIVE,zoZbh9ve1UC
 Number of Patients on ART,MqtSiyOFrqP, Number of Patients on ART,AGGREGATE, Number of Patients on ART,NUMBER,lRV4yaGMZcP
 Number of clients treated using LEEP,uXi8AjF8YR0,LEEP,AGGREGATE, Number of clients treated using LEEP,NUMBER,vB7sJ9zs0Hi
 Number of clients treated using Thermocoagulation,MIQ3HgFlHnS,Thermocoagulation,AGGREGATE, Number of clients treated using Thermocoagulation,NUMBER,vB7sJ9zs0Hi
 PIRI HPV Vaccine Dose1 administered to over 10 years,OLV2qDuYGPh, PIRI HPV 1 dose administered to 10 years,AGGREGATE,HPV 1 dose administered to over 10 years(First Contact),INTEGER_ZERO_OR_POSITIVE,OzshuDqmXQI
