name,id,shortName,numerator,denominator
 % of Malaria confirmed cases over suspected Malaria Case (>5Years MoH 705B),RWVSZXQF8DO,"Malaria confirmed cases ,suspected Malaria",#{OoakJhWiyZp.SeDaCnHi3m5},#{Lt0FqtnHraW.SeDaCnHi3m5}
 MOH-729B Total Number of Pregnant women or HEI Mothers,zTzQGHbaGQl, Total No. ofPregnant women or HEI Mothers,(#{PUElM9fX05X} + #{FJsr7NuAZzG} + #{yow23Z4qoyH} + #{u5zeltl5rfV} + #{eSvJ0iwxW8S} + #{Cfiqv92r3sT} + #{hzYT4vfNzQv} + #{C6Letuzs5lf} + #{qamQo2MgLMc} + #{j02efZsr6h9} + #{xYA6HgnX7kr} + #{Ea0QdQ5Zo8c} + #{NhuwyxsOnxc}),1
 MOS-MoH 730A Revision 2017 Paediatric preparations Efavirenz (EFV) 200mg Tablets 90s,dJNY6TQ0xX2, MOS-MoH 730A Revision 2017 Efavirenz Tablets 90s,(#{H5eOAm3h1dr.GvjV9gy3OOc} + #{FWfv9nwqQNj.GvjV9gy3OOc}),#{FWfv9nwqQNj.yP6vevc91WZ}
 MoH 730B Revision 2017 Adult preparations Dolutegravir(DTG) 50mg tabs 30s-QR,VmmPXNwflUH, MoH730BRevision2017Adult prep(DTG)50mg tabs30s-QR,(#{L806dq5McGs.b11dZBeBzRE} * 3) - #{L806dq5McGs.GvjV9gy3OOc},1
%  Active at 18 months but no AB test done,pbk71OFmLLZ,%  Active at 18 months but no AB test do,#{xz6EklggPTY.C0JkKJwjz0z},#{xz6EklggPTY.kKduCnnIOk7}
%  Lost to Follow‐Up between 0 and 18 months,CV0ofpZFEz2,%  Lost to Follow‐Up between 0 and 18 mo,#{UOXvN7hJUAh.C0JkKJwjz0z},#{UOXvN7hJUAh.kKduCnnIOk7}
%  Transferred out between 0 and 18 month,aDxr9ADYIWg,%  Transferred out between 0 and 18 mont,#{YEZKh5z5uIX.C0JkKJwjz0z},#{YEZKh5z5uIX.kKduCnnIOk7}
% 10-14 year-old girls of total Population,LXNNyU4iJmu,% 10-14 year-old girls of total Population,#{dRhugDCanvB},#{NLKRV7bYbVy}
% AB negative at 18 months,XwR9InaSBqH,% AB negative at 18 months% AB negative ,#{uM0kppDX04I.C0JkKJwjz0z},#{uM0kppDX04I.kKduCnnIOk7}
% Active in follow‐up ,nU2bjLqwN2p,% Active in follow‐up ,#{s3FoQN5Ml6T.C0JkKJwjz0z},#{s3FoQN5Ml6T.kKduCnnIOk7}
% Died between 0 and 18 months,Qlu7OyTuhTJ,% Died between 0 and 18 months,#{XiuOw6frDEi.C0JkKJwjz0z},#{XiuOw6frDEi.kKduCnnIOk7}
% Died between 0 and 9 months,N06PQGwcwG5,% Died between 0 and 9 months,#{uSwAblfq472.C0JkKJwjz0z},#{uSwAblfq472.kKduCnnIOk7}
% HEI Identified as positive between 0 and 18 months,MPcutumFZm7,%HEI Identified as positive btw 0 an18mt,#{P2p3i9vmOV8.C0JkKJwjz0z},#{P2p3i9vmOV8.kKduCnnIOk7}
% HEI tested with PCR at age 6‐8 weeks and results available,hkhajO6SfQO,% HEI tested with PCR at age 6‐8 weeks,#{IiRdyJ8sDTC.C0JkKJwjz0z},#{IiRdyJ8sDTC.kKduCnnIOk7}
% Identified as positive between 0 and 9 months,MPW7HIS4TgK,% Identified as positive between 0 and 9,#{izPvSZbsRA7.C0JkKJwjz0z},#{izPvSZbsRA7.kKduCnnIOk7}
% Infants who received ARVs at 0‐6 weeks ,mmfbBoNavHH,% Infants who received ARVs at 0‐6 weeks,#{QmSAEKTjdCB.C0JkKJwjz0z},#{QmSAEKTjdCB.kKduCnnIOk7}
% Latrine Coverage,rc63pQlR7fm,Latrine Coverage,#{UUa3P9X0iUs.NhSoXUMPK2K},#{duLaKUuuAwV.NhSoXUMPK2K}
% Missing 9 month follow‐up visit,lcBztrKYmJf,% Missing 9 month follow‐up visit,#{EULfPdQNJ6i.C0JkKJwjz0z},#{EULfPdQNJ6i.kKduCnnIOk7}
% Outcomes for birth cohort at 18 Months ,S1YSQs5d9Bb,% Outcomes for birth cohort at 18 Months,#{uM0kppDX04I.C0JkKJwjz0z}+#{xz6EklggPTY.C0JkKJwjz0z}+#{P2p3i9vmOV8.C0JkKJwjz0z}+#{YEZKh5z5uIX.C0JkKJwjz0z}+#{UOXvN7hJUAh.C0JkKJwjz0z}+#{XiuOw6frDEi.C0JkKJwjz0z},#{XiuOw6frDEi.kKduCnnIOk7}
% Outcomes for birth cohort at 9 Months,xLqVwGVw57y,% Outcomes for birth cohort at 9 Months,#{s3FoQN5Ml6T.C0JkKJwjz0z}+#{izPvSZbsRA7.C0JkKJwjz0z}+#{roL580fLVfT.C0JkKJwjz0z}+#{EULfPdQNJ6i.C0JkKJwjz0z}+#{uSwAblfq472.C0JkKJwjz0z},#{s3FoQN5Ml6T.kKduCnnIOk7}
% RDT Positivity (MoH 706),vAiDHQiMcEm,% RDT Positivity ,#{vORT3FUaS6P.nwpzSJ8o7hD},#{vORT3FUaS6P.TZ7UnG134RW}
% RDT uptake among Suspected Malaria patient (MOH 705A&B),qXatLmgS87P,% RDT uptake among Suspected Malaria ,#{c0MB4RmVjxk.w77uMi1KzOH} + #{qnZmg5tNSMy.w77uMi1KzOH} + #{gVp1KSFI69G.w77uMi1KzOH} + #{BnGDrFwyQp9.w77uMi1KzOH},#{Lt0FqtnHraW}
% Transferred out between 0 and 9 months,Wku2axMvLmx,% Transferred out between 0 and 9 months,#{roL580fLVfT.C0JkKJwjz0z},#{roL580fLVfT.kKduCnnIOk7}
% of Malaria confirmed cases over suspected Malaria Case (<5Years MoH 705A),NLghrsU5KlN,% of Malaria confirmed/ suspected Malaria,#{OoakJhWiyZp.lHl2rmXpHse},#{Lt0FqtnHraW.lHl2rmXpHse}
% of Malaria confirmed cases over suspected Malaria Case (<5Years MoH 705A+>5Years MoH 705B),tZZFufLIT9p,% of Mal confirmed/suspected Mal,#{OoakJhWiyZp.lHl2rmXpHse} + #{OoakJhWiyZp.SeDaCnHi3m5},#{Lt0FqtnHraW.lHl2rmXpHse} + #{Lt0FqtnHraW.SeDaCnHi3m5}
% of Patients treated with AL as a proportion of confirmed malaria cases.,tdhIKc7sGAj,Patients on AL vs confirmed malaria cases MOH 705,#{zB1NW37bi46.LGF6iqCIERd} + #{zB1NW37bi46.Y91nbvpppbG} + #{zB1NW37bi46.lBMSm0aBgXs} + #{zB1NW37bi46.abmGKYBTUWU},#{OoakJhWiyZp.lHl2rmXpHse} + #{OoakJhWiyZp.SeDaCnHi3m5}
% of RDT tests positive  among over 5 Years(IDSR),BihtPNae8lw,% of RDT tests positive  among over 5 Years(IDSR),#{IYnqoV2vlRq.ROXPeIvP89X},#{IYnqoV2vlRq.dbZfB6Oub9K}
% of Under Five Treated for Malaria,Wce6aGcFE0B,% of Under Five Treated for Malaria,#{Lt0FqtnHraW.lHl2rmXpHse}+#{OoakJhWiyZp.lHl2rmXpHse},#{BwROYFIiXKG.lHl2rmXpHse}+#{IxhbkNwhcvE.lHl2rmXpHse}
% of women (15-49) yrs provided with FP commodities - Community unit,GC3uAyQE12s,% of women (15-49) yrs provided with FP commodit,#{bbrNRV9zwVa},#{ddd4ahrnB2S}
% tested by AB test at >= 18 months and results are available,dXokgBJjDdf,% tested by AB test at >= 18 months,#{PkjZxAyJmzw.C0JkKJwjz0z},#{PkjZxAyJmzw.kKduCnnIOk7}
%HEI tested positive by first PCR at age 6‐8 weeks,PH6o4APFqWg,%HEI tested positive by first PCR at age,#{tYL0A1JspLB.C0JkKJwjz0z},#{tYL0A1JspLB.kKduCnnIOk7}
%HEI tested with PCR and results available between 0 and 9 months,kw3icxbznx4,%HEI tested with PCR and results availab,#{E3RbPoXM0ie.C0JkKJwjz0z},#{E3RbPoXM0ie.kKduCnnIOk7}
%HEI who tested AB positive with confirmatory PCR and results available,Eyr7p3PxARt,%HEI who tested AB positive with confirm,#{bsMZvAiHQIH.C0JkKJwjz0z},#{bsMZvAiHQIH.kKduCnnIOk7}
%HEI who were Exclusively Breastfed at 6 months among HEI assessed,jpgJZYKSyHR,HEI who were Exclusively Breastfed at 6,#{GjLqj024iQY.C0JkKJwjz0z},#{GjLqj024iQY.kKduCnnIOk7}
