"Data","Period","Organisation unit","Value"
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","J2RRsOjodYB",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","heUVD4FGgls",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","KdQ70ImWbQi",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","AVvOzhk3GCR",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","gB1xXLsxDuE",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","G4fYKBYErXO",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","wCYNSByDP30",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","BEJQPDKe2Mo",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","BNtYSB84qkO",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","KAJd0OLnMeq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","EzS8Q2aNLJ9",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","ScUEphF7XrR",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","idX7978BeoM",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","rj6NWZI6q2I",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","tLVjdEE6IX2",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","VVANP544kiM",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","wjM8cJbk9VI",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","I6DBNeGDKjI",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","MKUwyQVh8df",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","IbvjcV6yaw7",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","r5CLaKuMFQv",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","NPQi28ysDmW",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","OWzmQu4aMo8",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","TfKJYMZEdOB",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","Qoxzr8UwgyL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","yjW8519Mkn2",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","EOwZKRgVff8",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","JWdMKPTg0HL",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","uZ5wen4Emyh",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","BgSvoiad9lC",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","mITAGtWnWEK",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","iOvnmVbUTLx",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","zrKMjzUOZov",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","km06lXUQMHh",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","XOoJyLUlTMq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","AuPqWPxYz7I",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","JEwjusZgQpR",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","C1LIWUfN9s6",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","e4qufcaiy1w",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","Zgh6sHhm1bE",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","JRzEwsiGNOs",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","JzGMqgmSuFD",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","VuPVJkTWe03",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","NoZjHcIDHGW",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","U6cuWLDIg1T",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","YFxIyCBX0oG",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","yr1OdefeL3S",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","cw60Sjxkr6J",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","DHJTFwnlEdw",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","WoUpZkE4oXk",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","VjT4hdkblqM",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","GJda6nR1YiA",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","jlYRcE9fKDy",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","AgSCDFA4OVy",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","BFNAAK5FfHn",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","UY3IInX1rgt",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","q6yR4FdH5sb",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","DfZmGD7EH3O",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","mz7QyEwYs6W",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","IKiQjyUJC4N",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","vIT1OaqIuYs",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","OKVs6Ik2J3q",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","MniJ99qrhJ6",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","pmG7Xp4Uqwd",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","mVLhP3ckM6H",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","VqROfRW9Crc",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","lQR7DNJikg8",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","fogDlL82GID",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","jqLcZtIyJim",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","wD4Vb1ZGVBS",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","fhUkLk6FQDP",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","FNIEbT5nfml",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","c5yCTtDTgfJ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","vn36KyrP17l",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","bsxfKJeYW6k",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","gwB2ZiLFNyy",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","HK5EKCdV5Lk",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","sV03SJelJoh",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","WYJagHStdxp",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","OJSMFPdIhRH",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","wHIl0XWv9Yq",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","Fjb8CId2BV7",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","Cvh3PJID8IQ",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","MnFD3y1T1GX",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","dDmPQOiYjkT",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","r553arsDftg",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","CUCTqzLEY0L",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","G9T9DKHWeRp",0
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","ghoqSIAk5V6",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","bmeJqZjeQKG",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","gnjJE1nz086",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","VsK11IQUWdd",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","MO9z02WLRpY",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","HGLQF59nCsF",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","FukD6vlMBUn",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","kjh6bvtxdvi",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","Waoec9qt8ol",1
"g3RQRuh8ikd.ACTUAL_REPORTS","202308","FWlciiBqhQn",1
