"Data","Period","Organisation unit","Value"
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","MwFhJW2w7yH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","XenoapiIjq8",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","M74KfX3iuTM",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","KmYG2XJfp6W",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","Rt3EHoIgc83",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","YZx0PVkMev8",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","I4rhKKyqMjo",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","cDWVOPhvdMX",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","yPvxYuKq57g",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","Ta8zRQhDs6G",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","B69MTCU0Gba",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","UJwbg5TFILH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","pdeMZ763jZ6",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","aB8dffITO0K",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","R53kacQeXci",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","MQNJWWnXp35",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","KqyJUhSG2jJ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","bHFuoTfIWkc",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","M9RAPkG5Qsn",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","Fa6uoTWPuhk",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","uKQ00J1SYx7",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","rm2NMd8FAnm",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","bGAA7uZ39kh",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","iGeBkKapn5s",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","eNZAGD0lqAk",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","Rb2ToilrNJu",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","g0sbU1bhnzH",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","ffMpKnxJWIj",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","gZJrIrVhQiq",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","LtPA1KX6oXx",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","d86OiRCX1px",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","CgMmkS9jWI6",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","FiGBHFGyJas",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","YaFxkX8brbt",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","IIUvFyFanGx",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","cz2PbgSJfn5",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","fagJQVacCIQ",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","Sv2N7LtmPBa",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","SNCOL32lKCU",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","zDxOF3Q1fxO",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","OjJ10SUoEa2",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","GwLVDDMCfyU",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","sR008hvpu5e",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","gM558EM6PT0",1
"XoHnrLBL1qB.ACTUAL_REPORTS","202401","wt3z0KK0CAq",1
