"Data","Period","Organisation unit","Value"
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","UpaNvtGWEZi",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","mSjyGBo4Rqu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","qKdYg7mljtU",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","OAp4qUq33DM",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","eNk2Eu2v03i",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Oj4S6PUrCvI",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","IDDFhT4VRj1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","eN8skNfMqmm",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","uAmB8MLWUbq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","SLYEU6SItMd",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FvfMp8Q37PM",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Rru4LlacSok",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FLyT7XDQxf6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","SkwAFqB5xbI",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","okFLmlqrJr7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","DbCCiO4AXdh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","cFRuOTWF3ur",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","vIWWNctiwz1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","YAl3loJsyr9",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","XRWB44umvHT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FQvqWravSop",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","jyOgldxx4Ok",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","eOYOKmIwEjG",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","rbFcM9ZRB37",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xDYrSeSD4g7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xSUP8uKu35W",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Kw9qM5jwrK7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Lt7z4760yX7",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xOk8BwV5Uta",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xmqZcSknOaR",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Rre94o5TeOh",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","SeSNXZyUdeO",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Ar6PTYq1wxk",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","wS4rT2yVYfu",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","ytfldbyqrLr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","KC2VsZZnK1M",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","JiNI0GVOYuZ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","KAr8IJxZVtv",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","UF9HJO258Yp",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xHpOSfsb09z",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Tlx5XPvYrNV",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","MslTHPhWjdt",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","MjZJNnJXU7s",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","GIFeW39NUTr",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","QPZ9f0CtO2r",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","VECrcVaffja",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FHYf7mQFpOT",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","CBZDsamqbjp",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","N41yfPxtAlL",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","kJ5MjZkaoSP",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","lYXL1MyYDKX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","e6qfsP7cn9o",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","yBe7688zcRt",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","rD762Jwlsgq",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","kHXLWDE71id",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","fGgr17UV6Q6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","Gxv8X40sZrs",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","yo95apmvi6K",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","toCFIFoLvvy",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","vvHD7UqnlRk",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","H2T8SxOU1zP",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","EL2RWRacg4V",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FS92QpEW9X1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","tP9Wb2hdTP6",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","DJhs3BRMgFg",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","bpy7AO83XzX",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","oXSYWYUv3SN",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","qyr1wPgjhau",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","MWFpSslSbQ4",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","JJczCny1gT1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","FFP3DzlAKkc",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","gwbTbvxajf1",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","tT2QKeVtwos",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","eOcpcboxzKQ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","EddKiEXCXSD",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","xrvRb7BtOct",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","TeGU1TvxL29",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","zpsnUplqNzy",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","LKOhxyWkOuw",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","v12VL4vqhhJ",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","O8cO0JfUo2l",1
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","EZpYrIYw8nf",0
"RRnz4uPHXdl.ACTUAL_REPORTS","202303","ThT4PxgmYQL",1
