"Data","Period","Organisation unit","Value"
"mVRzpvT29MP.ACTUAL_REPORTS","202402","U5D1aA9Gu75",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","kUVH2XUzrvY",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","cXnMygNkNsa",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","JR47sh98qKk",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","FH1lPSOnK9z",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","f1mpqnM6p8W",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","RUBAdXhzucO",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","o6V7c3jZW7n",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","XIIEtZGP1iY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","X3m67s9fYES",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","TCBGWHUlgR2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","wykZYTXhfB2",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","jxrrGBOPSBF",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","OzmgYOzluXL",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","HGLQF59nCsF",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","dTKM4VbCSvA",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","qUiL83rew0F",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","yanWZpO1esQ",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","PoxejXl56HY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","pUcL23obDlW",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","k086cMTy5X8",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","BfvRU0y4Lor",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","arsnCibtzLl",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","Yk9TzYY9P6M",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","tZYpN3x4Zwn",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","IwDcBQwgbEg",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","r553arsDftg",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","ZQBkmrdOpuC",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","MnFD3y1T1GX",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","jvB87WUXFeY",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","iAuQRWVoRpK",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","FjX69scm7lW",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","fcY1fkS6bL1",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","LunYFWqFNiA",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","NxtPmGX4kQD",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","nQDoBi1L8SS",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","RuVa3z3qxpv",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","eqFz38zb73f",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","a4s2wKfJc30",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","VJaFTjbLNoF",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","T31nW3EJMLj",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","TGDQ4YJ1kik",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","m3LmuT3zzVS",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","XdmsyjZT77E",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","UVAVSmgmLgj",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","e9g4ASj6e6F",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","mxhSNH3OIJx",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","UD7IzkE8Kws",0
"mVRzpvT29MP.ACTUAL_REPORTS","202402","PKZbcnRwCfc",1
"mVRzpvT29MP.ACTUAL_REPORTS","202402","YOpPEFgUxtx",0
